,,SiOs postliste 9. 15.11.2015,
Sist endret d,Dok # Tittel,Applikasjon,Saksbehandler
ato,,,
12.11.2015,43176 Søknad om tilskudd til studentbolig,ACROBAT,Helge Christian Haugen
,"bygging 2016, brev til Kunnskapsde",,
,partementet av 9.11.2015,,
11.11.2015,43163 Forespørsel overskjøting av Storgat,ACROBAT,Eivind Hall
,"a 39 41, Kongsvinger kommune",,
09.11.2015,43125 Igangsettingstillatelse del 2 Rolf. E,MS OUTLOOK,Torgunn Kveberg
,". Stenersens allé 30 36, PBE 06.1",,
,1.15,,
09.11.2015,43137 Behov for tilleggsdokumentasjon,MS OUTLOOK,Torgunn Kveberg
,"Blindernveien 6, PBE 09.11.15",,
