Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
10842 Strømpriser- Universitas,KS,INN,11.11.2010,
10715 Klage - 2010057832,SB,INN,08.11.2010,
10716 Klage - 2010057832,SB,INN,08.11.2010,
10717 Klage - 2010057834,SB,INN,08.11.2010,
10726 Klage 2010057841,SB,INN,08.11.2010,
"10815 Klage på støy fra vifte på Amatøren, Sogn studentby - Oslo kommune - Bydelsoverlege",SB,INN,10.11.2010,19.10.2010
n,,,,
10727 Kurs i grafisk arbeid - noen spørsmål,SL,INN,08.11.2010,
10835 Registreringsordningen for foreninger ved Universitetet i Oslo,SL,INN,11.11.2010,
10708 Spm til økonomikurs og Veiledning fra Studentliv,SL,INN,08.11.2010,
10732 Studentavisprogramvare svar fra Studentliv,SL,INN,08.11.2010,
10733 Spm om Regnskap fra MAPS,SL,INN,08.11.2010,
10735 Info om Arrangementer fra MØNA-filmklubb,SL,INN,08.11.2010,
10728 Student association PROION,SL,INN,08.11.2010,
10729 Starte ny forening - Blindern E-sportsklubb,SL,INN,08.11.2010,
10730 Starte ny forening - Blindern E-sportsklubb,SL,INN,08.11.2010,
10731 Studentavisprogramvare,SL,INN,08.11.2010,
10725 BIhulen (studenthytte) - midlertidig stengt,SL,INN,08.11.2010,
10734 Oppdatering kontaktinformasjon for studenthytte Småbruket,SL,INN,08.11.2010,
10720 Cyb & IFI2-puben - Momsplikt og skjenkebevilling,SL,INN,08.11.2010,
10721 Svar fra Studentliv Cyb & IFI2-puben - Momsplikt og skjenkebevilgning,SL,UT,08.11.2010,
10722 Kontakt i Mamut til Cyb fra Studentliv,SL,UT,08.11.2010,
10736 Informasjon om Arrangementer fra MØNA Filmklubb - svar fra Studentliv,SL,UT,08.11.2010,
10723 Svar fra Studentliv 2: Cyb & IFI2-puben - Momsplikt og skjenkebevilling,SL,UT,08.11.2010,
10724 Utkast til vedtekter for IFI2-Pub eksempelforslag fra Studentliv,SL,UT,08.11.2010,
"10709 Spm til økonomikurs, veiledning av Studentliv",SL,UT,08.11.2010,
"10710 Questions about student societies, svar fra Studentliv",SL,UT,08.11.2010,
10796 SOGN 2012 Møte 3 Husbanken,SE,UT,09.11.2010,09.11.2010
www.sio.no,,,,
SiOs postlisten 08. - 12.11.2010,,,,
Dok # Dokumentnavn,Virksomhet,Retning,Opprettet dato,Dok. dato
10823 Generell tillatelse KHiO skjenkebevilling,SKA,UT,11.11.2010,11.11.2010
