,SiOs postliste 31.8.2020-6.9.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
06.09.2020 19:14,56854 BNA Oslo kommune Kringsjå legesenter,MS OUTLOOK,Trond Morten Trondsen
:21,,,
04.09.2020 13:28,56852 HEL Oslo Kommune Teststasjon Covid-19 Mort,MS OUTLOOK,Trond Morten Trondsen
:36,en Skognes,,
31.08.2020 16:23,56818 BNA Oslo kommune Helsestasjon og PMF,MS WORD,Trond Morten Trondsen
:40,,,
31.08.2020,56824 Tilsagn om tilskudd til oppgradering av student,MS OUTLOOK,Torgunn Kveberg
,"boliger, Kunnskapsdepartementet 31.8.20",,
