,SiOs postliste 10.8.2020-16.8.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
16.08.2020 10:36,56733 SiO Helse Blindern Teststasjon covid-19. Renh,MS OUTLOOK,Camilla Vigander
:46,old og ppningstider fra 170820,,
14.08.2020 12:18,"56727 Tilsvar til klage, brev til Diskrimineringsnemnda",ACROBAT,Torgunn Kveberg
:50,av 13.8.20,,
14.08.2020 09:28,56722 Svar Oppfølging etter møte med SiO HSØ Ceci,MS OUTLOOK,Trond Morten Trondsen
:20,lie Skule,,
14.08.2020,"56728 Anmodning om tilsvar til klage, brev fra Diskrimi",ACROBAT,Torgunn Kveberg
,neringsnemnda av 26.6.20,,
13.08.2020 21:24,56721 Covid-19 teststasjon BYR,MS OUTLOOK,Trond Morten Trondsen
:22,,,
12.08.2020 13:33,"56712 Sognsveien 85 - Varsel om pålegg, PBE 12.8.2",ACROBAT,Torgunn Kveberg
:25,0,,
12.08.2020 09:28,56706 SV: SIO test,MS OUTLOOK,Trond Morten Trondsen
:44,,,
12.08.2020 08:33,56705 Renhold UiO. Teststasjon Covid-19 SiO Helse,MS OUTLOOK,Camilla Vigander
:50,Blindern,,
10.08.2020 09:30,"56693 Gjerdrums vei 10 - Rammetillatelse, PBE 28.7.",ACROBAT,Torgunn Kveberg
:53,20,,
10.08.2020 09:26,"56692 Blindernveien 6 A-E - Endret tillatelse nr 3, PB",ACROBAT,Torgunn Kveberg
:26,E 10.7.20,,
10.08.2020 09:24,56691 Blindernveien 6 A-E - Igangsettingstillatelse nr,ACROBAT,Torgunn Kveberg
:23,"3, PBE 10.7.20",,
10.08.2020 09:18,"56690 Blindernveien 6 - Tillatelse til tiltak, PBE 9.7.20",ACROBAT,Torgunn Kveberg
:34,,,
10.08.2020,56689 Kunngjøring om offentlig ettersyn - Maridalsvei,ACROBAT,Torgunn Kveberg
,"en 319 - 321 til kontorformål, PBE 6.8.20",,
