Endret,Dok,Dokumentnavn,Applikasj,Forfatternavn
dato,#,,on,
06.03.2,5604,FHI Legionella Bydel,MS OUTL,Trond Morten Trondsen
020 13:,6,Grunerløkka 7,OOK,
13:56,,,,
06.03.2,5604,FHI Legionella Bydel,MS OUTL,Trond Morten Trondsen
020 11:,2,Grunerløkka 6 sv,OOK,
07:28,,,,
06.03.2,5603,Avslag på tilskudd p,ACROBA,Torgunn Kveberg
020 09:,7,å helse- og sosialom,T,
55:05,,"rådet 2020, Oslo ko",,
,,mmune Velferdsetat,,
,,"en, 20.2.20",,
06.03.2,5603,Brenneriveien 11 - Ti,ACROBA,Torgunn Kveberg
020 09:,5,lbakemelding til fagk,T,
36:14,,"yndig, PBE 26.2.20",,
06.03.2,5603,Rolf E. Stenersens al,ACROBA,Torgunn Kveberg
020 09:,4,lé 24 - Referat fra for,T,
33:56,,"håndskonferanse, 18",,
,,.2.20,,
06.03.2,5603,Rolf E. Stenersens al,ACROBA,Torgunn Kveberg
020 09:,3,lé 6 - Rammetillatels,T,
30:21,,"e, PBE 5.3.20",,
06.03.2,5603,Kunngjøring om offe,ACROBA,Torgunn Kveberg
020 09:,1,ntlig ettersyn: Nycov,T,
08:17,,eien - Sandakerveie,,
,,"n til bygate, PBE 5.3.",,
Endret,Dok,Dokumentnavn,Applikasj,Forfatternavn
dato,#,,on,
,,20,,
06.03.2,5603,Olav M. Troviks vei 4,ACROBA,Torgunn Kveberg
020,0,"0 - Ferdigattest, PBE",T,
,,24.2.20,,
06.03.2,5603,Olav M. Troviks vei 3,ACROBA,Torgunn Kveberg
020,2,"4 - Tillatelse til tiltak,",T,
,,PBE 20.2.20,,
06.03.2,5603,Avslag på tilskudd p,ACROBA,Torgunn Kveberg
020,6,å helse- og sosialom,T,
,,"rådet 2020, Oslo ko",,
,,mmune Velferdsetat,,
,,"en, 20.2.20",,
04.03.2,5601,Elektrotegninger KO,ACROBA,Camilla Vigander
020 11:,8,H 2019 - IKT OG SIK,T,
10:24,,KERHET - Del 4.pdf,,
04.03.2,5601,Anbefalinger for renh,ACROBA,Camilla Vigander
020 10:,4,old på legekontorer i,T,
59:50,,Oslo.pdf,,
04.03.2,5600,UiO Hanna Ekeli Op,MS OUTL,Trond Morten Trondsen
020 09:,9,pfølging av studenter,OOK,
03:04,,satt i karantene 2,,
03.03.2,5600,Legionella Bydel Gru,MS OUTL,Trond Morten Trondsen
020 10:,6,nerløkka 5 sv,OOK,
33:03,,,,
Endret,Dok,Dokumentnavn,Applikasj,Forfatternavn
dato,#,,on,
020 10:,5 pfølging av studenter,,OOK,
27:37,,satt i karantene,,
03.03.2,5600,Legionella Bydel Gru,MS OUTL,Trond Morten Trondsen
020 08:,3,nerløkka bydeloverle,OOK,
01:48,,ge 4 sv,,
03.03.2,5600,Legionella Bydel Gru,MS OUTL,Trond Morten Trondsen
020 08:,2,nerløkka bydeloverle,OOK,
00:31,,ge 3,,
03.03.2,5600,Legionella Bydel Gru,MS OUTL,Trond Morten Trondsen
020 07:,1,nerløkka Bydeloverle,OOK,
59:11,,gen 2 sv,,
02.03.2,5599,Brenneriveien 11 - S,MS OUTL,Torgunn Kveberg
020 09:,8,var på spørsmål om,OOK,
13:11,,"utnyttelse, PBE 28.2.",,
,,20,,
