,SiOs postliste 24.8.2020-30.8.2020,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
26.08.2020 14:36,56796 Høring - Forslag til endringer i fagskoleloven og,MS OUTLOOK,Torgunn Kveberg
:32,"fagskoleforskriften, Kunnskapsdepartementet",,
,26.8.20,,
25.08.2020 07:59,"56783 Olav M. Troviks vei 34 - Ferdigattest, PBE 24.8.",ACROBAT,Torgunn Kveberg
:59,20,,
24.08.2020 14:56,"56782 SV: BL02 SiO Helse Blindern, heisstyring.",MS OUTLOOK,Camilla Vigander
:56,,,
24.08.2020 14:21,56781 HSØ Rapportering PH Psykisk helse 2020,ACROBAT,Trond Morten Trondsen
:07,,,
24.08.2020 09:41,56777 Fwd: Plan for hovedrengjøring SiO Helse Nydal,MS OUTLOOK,Camilla Vigander
:59,en,,
24.08.2020 09:33,56776 SV: KOH- Måle fuktighet i parkett etter vannska,MS OUTLOOK,Camilla Vigander
:05,de,,
24.08.2020,56775 BNA Smittevern DA/Athletica,MS OUTLOOK,Trond Morten Trondsen
