,,SiOs postliste 10.5.-16.5.2021,
Edit Date,Doc # Document Name,Application,Author Name
11.05.2021 1,58334 Innvilgelse tilskudd til Pilot triagerin,MS OUTLOOK,Torgunn Kveberg
3:18:09,gsverktøy fastlegekontor - SiO Hels,,
,e over statsbudsjettet 2021 kap. 76,,
,"2, post 70, Helsedirektoratet 11.5.2",,
,1,,
11.05.2021 0,58332 Olav M. Troviks vei 34 - Behov for ti,ACROBAT,Torgunn Kveberg
8:51:18,"lleggsdokumentasjon, PBE 11.5.21",,
10.05.2021 1,58325 Rapport 2 Peer Support KD 100521 MS OUTLOOK,,Trond Morten Trondsen
3:33:39,,,
10.05.2021 1,"58324 Olav M. Troviks vei 2, 12-28, 46-66,",ACROBAT,Torgunn Kveberg
2:58:06,"74, Ferdigattest, PBE 10.5.21",,
10.05.2021 1,"58323 Blindernveien 6 A-E, Brukstillatelse,",ACROBAT,Torgunn Kveberg
0:46:23,PBE 7.5.21,,
