,,SiOs postliste 5.4.-11.4.2021,
Edit Date,Doc # Document Name,Application,Author Name
09.04.2021 1,58160 Tiltaksliste for offentlige rom i Nydal,ACROBAT,Torgunn Kveberg
2:41:34,"en - Kunngjøring om ny høring, PB",,
,E 9.4.21,,
08.04.2021 1,58152 Vaksine kartlegging HEL Helseetat,MS OUTLOOK,Trond Morten Trondsen
0:54:05,en Oslo kommune,,
07.04.2021 2,58150 Covid-19 testavtale Oslo kommune,MS OUTLOOK,Trond Morten Trondsen
3:35:44,HEL SIO Helse,,
06.04.2021 1,58142 Tilsagn på søknad om kompensasj,ACROBAT,Torgunn Kveberg
3:16:07,"on for treningssentre i Oslo, Byråds",,
,avdeling for næring og eierskap 31.,,
,3.21,,
06.04.2021 1,"58141 Tildeling av midler til psykisk helse,",ACROBAT,Torgunn Kveberg
3:10:12,"Byrådsavdeling for helse, eldre og",,
,innbyggertjenester 18.3.21,,
06.04.2021 1,58140 Tilsagn om tilskudd til studentbolige,MS OUTLOOK,Torgunn Kveberg
3:05:35,"r 2021, Kunnskapsdepartementet 3",,
,0.3.21,,
